"coefficient","Author"
0,"Hedda Martens"
0,"Carel Scharten"
0,"C.B. van Haeringen"
0,"G. Polvliet"
0,"Adriaan van der Veen"
0,"Loek Zonneveld"
0,"Pieter G. Buckinx"
0,"Marie Ramondt"
0,"Paul Sobry"
0,"Cornelia Serrurier"
0,"Cyriel Buysse"
0,"Oskar Katann"
0,"Reinier van der Meulen Rz."
0,"R.H. Baayen"
0,"Marcellus Emants"
0,"O. Noordenbos"
0,"Herman Philipse"
0,"J.A. van der Made"
0,"Hendrik Henrichs"
0,"W. Kaper"
0,"F.W.N. Hugenholtz"
0,"W.A.P. Smit"
0,"Hermann H. Frese"
0,"Jan Engelman"
0,"R. Sierksma"
0,"Matthijs Salverda"
0,"J.E. Sachse"
0,"Maurits Uyldert"
0,"H.L.F. Pisuisse"
0,"J.W. de Vries"
0,"Patricia de Martelaere"
0,"A.L.H. Ising"
0,"S.M. Noach"
0,"A.N. Molenaar"
0,"Pieter Spierenburg"
0,"Eugène van Itterbeek"
0,"Emile Gobée"
0,"A.S. Oppenheim"
0,"J.J. Buskes"
0,"H. Mol"
0,"Jan Pieter Nicolaas Land"
0,"Jacobus Craandijk"
0,"Dirk Harting"
0,"Pieter Jan Bouman"
0,"Kitty M. van Leuven-Zwart"
0,"J.M.J. Kooy"
0,"C.F.P. Stutterheim"
0,"Dirk de Geest"
0,"Wim Vermeer"
0,"Harry Verschuren"
0,"Walter Thys"
0,"M.C. van den Toorn"
0,"P.J. Muller"
0,"D.C. Meijer"
0,"W.N. du Rieu"
0,"Alvin W. Gouldner"
0,"Hans van Dijk"
0,"B. Boeyckens"
0,"Johan Huizinga"
0,"J. Noë"
0,"J.P. Lotsy"
0,"Henricus Oort"
0,"J.G. Gleichman"
0,"A.J. Westerman Holstijn"
0,"Jeanette Koekman"
0,"J.C. van Holten"
0,"Willem Hendrik de Beaufort"
0,"D.G. Jelgersma"
0,"Edward Rombauts"
0,"M. van den Daele"
0,"Gilbert Degroote"
0,"A.J.A. Gerlach"
0,"Fransje Klaver"
0,"Maarten Doorman"
0,"Kamiel Vanhole"
0,"Karst Woudstra"
0,"Charles B. Timmer"
0,"Tjebbe van Tijen"
0,"Horst A. Steinmetz"
0,"A.M. Duinhoven"
0,"J.W. Marmelstein"
0,"F. van Elmbt"
0,"Gerard Walschap"
0,"Paul de Keyser"
0,"Claas W. de Kruyter"
0,"Halbe Binnerts"
0,"Go Mandersloot"
0,"Karel Meeuwesse"
0,"I.D. du Plessis"
0,"W.G.C. Byvanck"
0,"Theo A.J.M. Janssen"
0,"A. van 't Laar"
0,"J.F. Glastra van Loon"
0,"Frans W. Saris"
0,"François van Veerdeghem"
0,"Jeanne de Bruyn"
0,"J.T. Buys"
0,"J. Bierens de Haan"
0,"A. Dupont"
0,"J.G. Sleeswijk"
0,"Gerrit van Olivier"
0,"Wilhelm Christiaan Knottenbelt"
0,"Aug. Bruynseels"
0,"H.J. Elias"
0,"Johannes Margadant"
0,"Johannes de Koo"
0,"Jaap Das"
0,"George Alexander Wilken"
0,"Mark Richartz"
0,"B.H.C.K. van der Wijck"
0,"P.J. Buijnsters"
0,"Hans van de Waarsenburg"
0,"A.G. van Melle"
0,"P.J.F.M. Eligh"
0,"Jan Heemskerk Bzn."
0,"Jan Carel Matthes"
0,"Hugo Vandeperre"
0,"Ger Harmsen"
0,"C.H. van Os"
0,"C. van de Haar"
0,"F. Vos"
0,"Dorian Cumps"
0,"Joke J. Hermsen"
0,"Yves T'Sjoen"
0,"Jozef van Mierlo"
0,"Hanneke van Buuren"
0,"Nico Frijda"
0,"Johannes Aarnout Loebèr jr."
0,"H. Lievegoed"
0,"Aug. Bruijnseels"
0,"Lo van Driel"
0,"Anna Germonprez"
0,"D.H. Lammers"
0,"A.L.W. Seyffardt"
0,"W. Kramer"
0,"W.H. Somermeyer"
0,"E.W. Beth"
0,"H.T. Karsten"
0,"Frederike van der Leek"
0,"Stefan Hertmans"
0,"Conradus Leemans"
0,"Elisabeth Keesing"
0,"J.W. Holsbergen"
0,"G.J. Hoogewerff"
0,"Charles Boissevain"
0,"Ad. Jansen"
0,"J.A. Tours"
0,"Willem Duflou"
0,"Willem Frederik Andriessen"
0,"A.C. Josephus Jitta"
0,"Ph. Kohnstamm"
0,"H. van Cappelle"
0,"Anton Koolhaas"
0,"Johanna A. Wolters"
0,"Andries Borgeld"
0,"J.J.A.A. Frantzen"
0,"A. Bruining"
0,"Frits Lapidoth"
0,"Adrianus van Selms"
0,"W.J.M. van Calcar"
0,"Maarten van Rossem"
0,"J.C. Arens"
0,"A. Hotz"
0,"F. den Eerzamen"
