"coefficient","Author"
-1.32957525253845,"Fenna de Meyier"
-1.32954885614274,"Luc Salu"
-1.32954243547057,"Kasper Niehaus"
-1.32954213687229,"Willem Jan Mari van Eysinga"
-1.32954213104893,"L.G.M. Baas Becking"
-1.32952465342247,"M.H.A. van der Valk"
-1.32951598567244,"L. Brummel"
-1.32951597981087,"L.J.J. Olivier"
-1.32525896115613,"Th. van Welderen Rengers"
-1.32149714519928,"Eliseus Bruning"
-1.32113228225786,"Léopold Levaux"
-1.3209685830179,"Johan Oskar Larsen"
-1.3209685786839,"Edvard Welle-Strand"
-1.32096857659381,"Jos Vermeulen"
-1.3209685701698,"Hubert van de Weerd"
-1.32093583650005,"G. de Bruijn"
-1.32090313865571,"D.H. Lawrence"
-1.32090312167052,"Thomas Raucat"
-1.32090197511389,"C.E. Hooykaas"
-1.32088731063956,"F.A. van der Hoeven"
-1.32087039762101,"Jan Campert"
-1.32087038063563,"Jan Grégoire"
-1.32086925108139,"A. Goslinga"
-1.3208608838113,"R. Pennink"
-1.32018288515678,"H. Enno van Gelder"
-1.32013066657576,"F.K.H. Kossmann"
-1.31529408802827,"Arie Zijderveld"
-1.31242558666296,"Frans van Oldenburg Ermke"
-1.31240174384001,"L. van der Essen"
-1.3123602161764,"Jan Thorn-Prikker"
-1.31233638647528,"Cipriano Efisio Oppo"
-1.31228798573719,"David Jacob van Lennep"
-1.31225535284538,"H.G.J. Maas Geesteranus"
-1.31225534739869,"C.J.J. Westermann"
-1.31225534195207,"A.C. Kersbergen"
-1.31222890579266,"J. Hovy"
-1.31194535998383,"H. Marsman"
-1.31010851434722,"Martinus Nijhoff"
-1.30808830504932,"Roel Houwink"
-1.30662854586974,"Henriette Roland Holst-van der Schalk"
-1.30514455317539,"Boris Raptschinsky"
-1.30364664479336,"C.G.S. Sandberg"
-1.29937104061245,"M.J. Langeveld"
-1.29592139471332,"Albert Verwey"
-1.29536991425775,"Frank van den Wijngaert"
-1.29520794458091,"Jeanne de Bruyn"
-1.29514303660855,"P. Seligmann"
-1.29514298443328,"Johannes Jörgensen"
-1.29514297863489,"Günther Müller"
-1.29513393373591,"Sybold van Ravesteyn"
-1.29509397223101,"Henri Houben"
-1.29506726739508,"J.E. van der Laan"
-1.29506157903654,"B. Vechtman"
-1.29506157396329,"L.K. Wolff"
-1.29506151343019,"H.L. van Oordt"
-1.29506150846371,"Dirk Wiersma"
-1.29506150339013,"Willem Leendertz"
-1.29394117628548,"Emmanuel de Bom"
-1.29235458324221,"Emile Erens"
-1.29232131578501,"Johan Fabricius"
-1.2921656783866,"Johannes Lindeboom"
-1.28971698877193,"Elisabeth Zernike"
-1.28662856824316,"Klaas Heeringa"
-1.28661331079592,"Antoon Thiry"
-1.28661329961804,"August van Cauwelaert"
-1.28658102046014,"Staf Weyts"
-1.2865809925141,"P. Vermeiren"
-1.28649938616056,"D.J.H. ter Horst"
-1.28647328222359,"A.J. Michielsen"
-1.28647302482448,"H. van Wichert"
-1.28534751717347,"Elisabeth du Perron-de Roos"
-1.28468843180883,"J. Slauerhoff"
-1.28301830664605,"R. Goris"
-1.28224740467537,"Jan van Gorp"
-1.28206351257328,"R.P.J. Tutein Nolthenius"
-1.27849590029397,"J.B. Manger"
-1.27804321675968,"Jef de Pillecijn"
-1.27804321137884,"Em. de Deyne"
-1.27803410327423,"F.C. Terborgh"
-1.27799946736204,"J. van Heugten"
-1.27796726456063,"J.M. Eylenbosch"
-1.27796137576652,"L.H. Grondijs"
-1.27793510617264,"Emiel van Coppenolle"
-1.27793508735782,"Léonce Reypens"
-1.27516428421142,"H.M.J. Oldewelt"
-1.2747911325955,"Evert Willem Schallenberg"
-1.27476199192999,"H.E.H. van Loon"
