"coefficient","Author"
0,"D.M. Bakker"
0,"M.C. van den Toorn"
0,"Cornelis Rijnsdorp"
0,"Fred Batten"
0,"D.E. Siegenbeek van Heukelom"
0,"Jan van der Meer"
0,"Peter van Ham"
0,"Robert Steijn"
0,"Paul van Heck"
0,"J.J.G. Jansen"
0,"Carla Rijkenberg"
0,"Peter Bergsma"
0,"Erik Slagter"
0,"Marcel Kurpershoek"
0,"Hana Bobková"
0,"Casper Hakfoort"
0,"Wiek Röling"
0,"Greetje van den Bergh"
0,"Maarten Steenmeijer"
0,"Anneke Nunn"
0,"Saskia van As"
0,"Geert Koefoed"
0,"L.H. Hoek"
0,"Linda Verstraten"
0,"A.M. Duinhoven"
0,"Ton van der Wouden"
0,"Wim Zonneveld"
0,"F. Lulofs"
0,"Julien Vermeulen"
0,"W.A.M. de Moor"
0,"S.N. Bakker"
0,"Ph.H. Breuker"
0,"Hugo Brems"
0,"H.J. Kiewiet de Jonge"
0,"K.W. de Groot"
0,"A.E. Thierens"
0,"J.H. van 't Hoff"
0,"Willem Gerard van Nouhuys"
0,"A.W. Sanders van Loo"
0,"Arthur de Vos"
0,"L. Knappert"
0,"Johannes Tielrooy"
0,"Jan Veth"
0,"F. de Sinclair"
0,"P. Geyl"
0,"H.J.E. Endepols"
0,"A. Carnoy"
0,"S.J. Hingst"
0,"Pieter Rutger Feith"
0,"Timon Hendrik Fokker"
0,"Frans Coenen"
0,"A.A.W. Hubrecht"
0,"A.G.W. Severijnen"
0,"G. Knuttel Wzn"
0,"L.H. Grondijs"
0,"V.E. van Uytvanck"
0,"Jacobus Heinsius"
0,"Th. van Rheineck Leyssius"
0,"Henk Kuitenbrouwer"
0,"A.J.D. van Oosten"
0,"J.B. Stolte"
0,"J.Z. Kannegieter"
0,"Arthur J.H. Cornette"
0,"J.C.M. Warnsinck"
0,"J. Bierens de Haan"
0,"L. Koch"
0,"Michiel Dierickx"
0,"Guy Posson"
0,"Helen Saelman"
0,"Ines Colijn"
0,"Willem G. Weststeijn"
0,"Jan Peter Nauta"
