"coefficient","Author"
0,"J.G. Gleichman"
0,"W.L.P.A. Molengraaff"
0,"Salomon Müller"
0,"Willem baron van Goltstein"
0,"J.N. van Hall"
0,"Willem Hendrik de Beaufort"
0,"Wolfgang Brandt"
0,"J.H. Groenewegen"
0,"Anton Gerard van Hamel"
0,"G.H. Betz"
0,"Johan Winkler"
0,"Gustaaf Verriest sr."
0,"R.J. Kortmulder"
0,"Juliaan Vervoort"
0,"Ellen Russe"
0,"R.B. Lenaerts"
0,"Thea Doelwijt"
0,"Michiel van Kempen"
0,"Huub Beurskens"
0,"Olga Krijtová"
0,"Piet Calis"
0,"Anil Ramdas"
0,"Jaap Goedegebuure"
0,"R.H. Baayen"
0,"Fons van Buuren"
0,"Thijs Pollmann"
0,"Hugo Bousset"
0,"Margriet de Moor"
0,"A.W. Nieuwenhuis"
0,"E. van Hille"
0,"A. Habets"
0,"Nico Scheepmaker"
0,"W. Gortzak"
0,"J.J. Buskes"
0,"P. Spigt"
0,"Jan Blokker"
0,"Julien Vandiest"
0,"G.J.M. van het Reve"
0,"J.H. Croon"
0,"Frank C. Maatje"
0,"Mea Verwey"
0,"Joanan Rutgers"
0,"Tiberius Cornelius Winkler"
0,"Michaël Wilhelm Scheltema"
0,"Charles François van Duyl"
0,"Melchior Treub"
0,"Th. Swart Abrahamsz"
0,"Emile Seipgens"
0,"Antoon Derkinderen"
0,"G.J. Hoogewerff"
0,"H.G. van der Vies"
0,"Frans Bastiaanse"
0,"Jan Frederik Niermeyer"
0,"C.P. Burger"
0,"Jules van Nuffel"
0,"Filip de Pillecyn"
0,"S.M.S. de Ranitz"
0,"Eelco Verwijs"
0,"Jean Baptist van Hugenpoth tot den Beerenclauw"
0,"Cornelius Marius Kan"
0,"J.M.J. Kooy"
0,"Simon Vestdijk"
0,"Thomas Mann"
0,"W.Ph. Scheuer"
0,"H.A. Kooyker"
0,"M. Straub"
0,"Hendrik Doeff"
0,"Jan Willem Gerbrandt van Oordt"
0,"Fred Polak"
0,"Theo J. van der Wal"
0,"Christiaan Terpstra"
0,"P.C. Boutens"
0,"Elizabeth Visser"
0,"G.P. Rouffaer"
0,"J. Limburg"
0,"G. van Rijnberk"
0,"Herman Robbers"
0,"Jan Emiel Vliebergh"
0,"Bob den Uyl"
0,"J.G. Bomhoff"
0,"H. Roose"
0,"Maurice Gilliams"
0,"Fernand Toussaint van Boelaere"
0,"H. Marsman"
0,"André Jolles"
0,"C. de Bievre"
0,"Louis H.M. Monden"
0,"Menno ter Braak"
0,"Maarten Steenmeijer"
0,"Doeschka Meijsing"
0,"Carla Bogaards"
0,"Marc Reugebrink"
0,"Predrag Dojcinovic"
0,"Herman Philipse"
0,"Marijn van der Jagt"
0,"Antoine Verbij"
0,"Barber van de Pol"
0,"Etienne van Heerden"
0,"Karen Vintges"
0,"Casper de Groot"
0,"F. Bulhof"
0,"Willy Vandeweghe"
0,"Marijke Meijer Drees"
0,"G.J. Dorleijn"
0,"Pol Hoste"
0,"Gerrit Krol"
0,"J.A. Alberdingk Thijm"
0,"H. van Herwerden"
0,"J. Aleida Nijland"
0,"Pieter Heering"
0,"D.C. Meijer"
0,"Jean Charles Naber"
0,"E.O. Houtsma"
0,"Ton Lemaire"
0,"Oek de Jong"
0,"Peter Theunynck"
0,"Ellen Ombre"
0,"J.J.G. Jansen"
0,"Xandra Schutte"
0,"Maarten Asscher"
0,"René Boomkens"
0,"Arjen Mulder"
0,"Arnold Heumakers"
0,"Sjaak Koenis"
0,"Tonnus Oosterhoff"
0,"Atte Jongstra"
0,"Piet Gerbrandy"
0,"Jacob Israël de Haan"
0,"J.Ph. Vogel"
0,"J.J. Tesch"
0,"P.N. van Eyck"
0,"Jacob Samuel Speyer"
0,"Jelte Nicolaas van der Ley"
0,"W.C. Mees"
0,"D.Th. Jaarsma"
0,"S. Pinkhof"
0,"J.P. Kuenen"
0,"Jan P.M.L. de Vries"
0,"Gerrit Simons"
0,"Adriaan Pit"
0,"Maurits Wagenvoort"
0,"Kees Meekel"
0,"Adolf de Ceuleneer"
0,"Pieter Nicolaas Muller"
0,"N.W.P. Rauwenhoff"
0,"M.C. Piepers"
0,"Pieter de Jong"
0,"J.J. Witkam"
0,"Grahame Lock"
0,"Magda van Emde Boas"
0,"A. Ollongren"
0,"Paul van Hauwermeiren"
0,"Maarten Klein"
0,"P. Schellens"
0,"Patricia de Martelaere"
0,"Willy Spillebeen"
0,"Karel Reijnders"
0,"Harrie Lemmens"
0,"Tomas Vanheste"
0,"Jos Joosten"
0,"Willy Coolsaet"
0,"E.J. Dommering"
0,"Wim Honselaar"
0,"Walter Schönau"
0,"Wim Zonneveld"
0,"Wiel Kusters"
0,"Frans van Zetten"
0,"Em. Kummer"
0,"Georges Adé"
0,"J.J.A. Mooij"
0,"Conny Kristel"
0,"H.M.J. Maier"
0,"Marja Loomans"
0,"Otto van den Muijzenberg"
0,"M. Stol"
0,"Guy Janssens"
0,"G.J. de Haan"
0,"L. Beheydt"
0,"Leonard Beuger"
0,"Eugenius Druwé"
0,"J. Menno Huizinga"
0,"Izaak Jan le Cosquino de Bussy"
0,"J.A. Tours"
0,"H.M. van Randwijk"
0,"C. Ch. Mout"
0,"Jan Meulenbelt"
0,"Bernard van Delfshaven"
0,"Fransje Klaver"
0,"Nico de Vrede"
0,"Pierre Brachin"
0,"Jan D. 't Lam"
0,"Pearl S. Buck"
0,"Amoene van Haersolte"
0,"G.A. Mesters"
0,"Reind J. Elema"
0,"Tjalling"
0,"Jac. van Hattum"
0,"B. Sluimers"
0,"Hugo Maron"
0,"J.C. Kamerbeek"
0,"A.F. Manning"
0,"M. Hanot"
0,"René Berghen"
0,"Ralph Degens"
0,"Jos de Haes"
0,"Henri Ernest Moltzer"
0,"M.A. Perk"
0,"F.H. Boogaard"
0,"R.P.J. Tutein Nolthenius"
0,"Abraham Robert Arntzenius"
0,"Daniel Koorders"
0,"J.P. Arend"
0,"F.E. Posthumus Meyjes"
0,"L.L.C.M. van Outhoorn"
0,"B. Faddegon"
0,"Jan Heemskerk Bzn."
0,"David Bierens de Haan"
0,"L.Ph.C. van den Bergh"
0,"Johan Drabbe"
0,"Johannes Hermanus Gunning jr."
0,"George Alexander Wilken"
0,"Willem Jacob Manssen"
0,"Samuel Muller"
0,"Jac. Moleschott"
0,"J.N. Swallow"
0,"Paul Kapteyn"
0,"Rien T. Segers"
0,"Leo Fretz"
0,"Paul Rodenko"
0,"Jozef D. Janssens"
0,"A. Dees"
0,"Frank Jansen"
0,"E.M. Uhlenbeck"
0,"Harry Bekkering"
0,"Domien ten Berge"
0,"Frans Boenders"
0,"Alstein"
0,"J.W. Muller"
0,"Gerardus Arnoldus Nicolaus Allebé"
0,"Dirk Harting"
0,"Julius de Boer"
0,"J.W. Marmelstein"
0,"G.J.D.C. Stempels"
0,"Adriaan Daniel Fokker"
0,"J.C. Bruijn"
0,"M.H.J. Schoenmaekers"
0,"Anna Germonprez"
0,"A. Carnoy"
0,"Anton Van de Velde"
0,"Semper Jejunus"
0,"T.T.H. Jorissen"
0,"Hendrik de Veer"
0,"Johannes Margadant"
0,"Abraham Kuenen"
0,"Albert Hendrik Arnoldus Ekker"
0,"M.J. de Meijer"
0,"W. van Drimmelen"
0,"Wim Markus"
0,"Pieter Spierenburg"
0,"Klaas Iwema"
0,"Evert van den Berg"
